incidencia_id,fecha,tipo,entidad_id,descripcion,severidad,estado
INC-001,2026-07-07,trabajador,INS-038,Falta de EPP completo,media,resuelto
INC-002,2026-07-15,molino,M-06,Rendimiento de molienda por debajo del estándar,media,resuelto
INC-003,2026-07-06,trabajador,INS-035,Inasistencia reiterada,baja,pendiente
INC-004,2026-07-04,trabajador,INS-039,Falta de EPP completo,baja,resuelto
INC-005,2026-07-01,transportista,TRA-004,Ruta no autorizada,baja,pendiente
INC-006,2026-07-01,transportista,TRA-001,Retraso en la entrega de carga,media,requiere_reevaluacion
INC-007,2026-06-29,trabajador,INS-024,Falta de reporte oportuno de novedades,baja,requiere_reevaluacion
INC-008,2026-07-07,transportista,TRA-002,Ruta no autorizada,baja,pendiente
INC-009,2026-07-12,trabajador,INS-028,Falta de reporte oportuno de novedades,media,pendiente
INC-010,2026-07-08,molino,M-10,Incumplimiento de horario de operación,baja,resuelto
INC-011,2026-07-06,trabajador,INS-020,Inasistencia reiterada,baja,resuelto
INC-012,2026-07-15,molino,M-07,Incumplimiento de horario de operación,baja,resuelto
INC-013,2026-06-30,molino,M-10,Rendimiento de molienda por debajo del estándar,alta,pendiente
INC-014,2026-07-08,molino,M-04,Rendimiento de molienda por debajo del estándar,alta,pendiente
INC-015,2026-07-07,trabajador,ACO-003,Falta de reporte oportuno de novedades,baja,pendiente
INC-016,2026-07-08,trabajador,INS-005,Falta de reporte oportuno de novedades,baja,pendiente
INC-017,2026-07-11,trabajador,INS-025,Falta de EPP completo,media,requiere_reevaluacion
INC-018,2026-07-08,transportista,TRA-007,Daño en unidad de transporte,media,pendiente
INC-019,2026-07-02,transportista,TRA-004,Ruta no autorizada,baja,resuelto
INC-020,2026-07-07,trabajador,INS-002,Inasistencia reiterada,baja,pendiente
INC-021,2026-07-02,transportista,TRA-007,Retraso en la entrega de carga,media,resuelto
INC-022,2026-07-16,trabajador,INS-039,Inasistencia reiterada,alta,resuelto
INC-023,2026-07-16,transportista,TRA-003,Ruta no autorizada,alta,pendiente
INC-024,2026-07-03,trabajador,INS-014,Inasistencia reiterada,baja,resuelto
INC-025,2026-07-06,molino,M-05,Incumplimiento de horario de operación,baja,pendiente
INC-026,2026-07-12,transportista,TRA-009,Ruta no autorizada,baja,resuelto
INC-027,2026-07-16,transportista,TRA-005,Retraso en la entrega de carga,baja,pendiente
INC-028,2026-07-06,trabajador,ACO-001,Falta de EPP completo,alta,resuelto
INC-029,2026-07-12,trabajador,INS-026,Inasistencia reiterada,baja,resuelto
INC-030,2026-07-09,trabajador,INS-035,Falta de reporte oportuno de novedades,baja,requiere_reevaluacion
